trade_date,spot,ivol,tau,option_price,delta,gamma,theta,vega,target_qty,current_qty,diff_qty,cash_position,portfolio_value,option_liability,replication_error,realized_pnl,unrealized_pnl,action
5 October 2025,576.821087,24.491642,1.202740,59.505651,0.560379,0.002529,-0.101968,2.478964,56.037867,56.037867,56.037867,-26373.258147,5950.565064,5950.565064,0.000000,0.000000,0.000000,BUY
6 October 2025,572.791577,24.491642,1.200000,61.233784,0.541591,0.002562,-0.101157,2.470399,54.159131,0.000000,54.159131,-26373.258147,-26373.258147,6123.378403,-32496.636550,0.000000,0.000000,HOLD
7 October 2025,582.949090,24.491642,1.197260,68.073682,0.586852,0.002488,-0.103401,2.479708,58.685198,0.000000,58.685198,-26373.258147,-26373.258147,6807.368188,-33180.626335,0.000000,0.000000,HOLD
8 October 2025,586.523968,24.491642,1.194521,74.120366,0.607214,0.002463,-0.104172,2.478813,60.721422,0.000000,60.721422,-26373.258147,-26373.258147,7412.036612,-33785.294759,0.000000,0.000000,HOLD
9 October 2025,585.615635,24.491642,1.191781,71.400202,0.603570,0.002473,-0.104089,2.475966,60.357047,0.000000,60.357047,-26373.258147,-26373.258147,7140.020199,-33513.278346,0.000000,0.000000,HOLD
10 October 2025,578.799136,24.491642,1.189041,70.110221,0.584927,0.002530,-0.102812,2.468433,58.492718,58.492718,58.492718,-60228.792651,-26373.258147,7011.022122,-33384.280269,0.000000,0.000000,BUY
11 October 2025,575.178975,24.491642,1.186301,65.063052,0.571980,0.002561,-0.102110,2.461225,57.197987,0.000000,57.197987,-60228.792651,-60228.792651,6506.305186,-66735.097838,0.000000,0.000000,HOLD
12 October 2025,560.568589,24.491642,1.183562,52.323712,0.519568,0.002663,-0.098583,2.425569,51.956761,0.000000,51.956761,-60228.792651,-60228.792651,5232.371210,-65461.163862,0.000000,0.000000,HOLD
13 October 2025,553.955900,24.491642,1.180822,52.120790,0.504915,0.002705,-0.096795,2.400187,50.491531,0.000000,50.491531,-60228.792651,-60228.792651,5212.079000,-65440.871651,0.000000,0.000000,HOLD
14 October 2025,556.772728,24.491642,1.178082,56.959643,0.517234,0.002692,-0.097681,2.407740,51.723412,0.000000,51.723412,-60228.792651,-60228.792651,5695.964275,-65924.756926,0.000000,0.000000,HOLD
15 October 2025,555.658554,24.491642,1.175342,57.908734,0.554852,0.002701,-0.097436,2.401057,55.485243,55.485243,55.485243,-91059.642320,-60228.792651,5790.873383,-66019.666034,0.000000,0.000000,BUY
16 October 2025,556.250169,24.491642,1.172603,55.841444,0.534230,0.002701,-0.097681,2.400459,53.422997,0.000000,53.422997,-91059.642320,-91059.642320,5584.144364,-96643.786684,0.000000,0.000000,HOLD
17 October 2025,553.231759,24.491642,1.169863,52.433212,0.539269,0.002721,-0.096872,2.386441,53.926926,0.000000,53.926926,-91059.642320,-91059.642320,5243.321181,-96302.963501,0.000000,0.000000,HOLD
18 October 2025,553.412067,24.491642,1.167123,51.171964,0.524525,0.002724,-0.096999,2.384393,52.452477,0.000000,52.452477,-91059.642320,-91059.642320,5117.196418,-96176.838738,0.000000,0.000000,HOLD
19 October 2025,552.602258,24.491642,1.164384,54.131101,0.499791,0.002731,-0.096830,2.378440,49.979134,0.000000,49.979134,-91059.642320,-91059.642320,5413.110101,-96472.752421,0.000000,0.000000,HOLD
20 October 2025,548.871462,24.491642,1.161644,51.352085,0.508550,0.002753,-0.095754,2.359964,50.855003,50.855003,50.855003,-118972.502341,-91059.642320,5135.208524,-96194.850844,0.000000,0.000000,BUY
21 October 2025,543.518453,24.491642,1.158904,47.896727,0.480010,0.002781,-0.094094,2.331855,48.000951,0.000000,48.000951,-118972.502341,-118972.502341,4789.672683,-123762.175024,0.000000,0.000000,HOLD
22 October 2025,545.089890,24.491642,1.156164,45.462072,0.476297,0.002777,-0.094680,2.336784,47.629722,0.000000,47.629722,-118972.502341,-118972.502341,4546.207238,-123518.709579,0.000000,0.000000,HOLD
23 October 2025,544.870273,24.491642,1.153425,47.953852,0.493657,0.002782,-0.094675,2.332873,49.365660,0.000000,49.365660,-118972.502341,-118972.502341,4795.385202,-123767.887543,0.000000,0.000000,HOLD
24 October 2025,545.888382,24.491642,1.150685,46.352668,0.479416,0.002780,-0.095078,2.334960,47.941605,0.000000,47.941605,-118972.502341,-118972.502341,4635.266809,-123607.769150,0.000000,0.000000,HOLD
25 October 2025,545.178513,24.491642,1.147945,49.014163,0.489151,0.002787,-0.094914,2.328686,48.915146,48.915146,48.915146,-145639.989107,-118972.502341,4901.416280,-123873.918622,0.000000,0.000000,BUY
26 October 2025,553.184221,24.491642,1.145205,48.274466,0.501387,0.002751,-0.097524,2.361312,50.138679,0.000000,50.138679,-145639.989107,-145639.989107,4827.446568,-150467.435675,0.000000,0.000000,HOLD
27 October 2025,566.934947,24.491642,1.142466,62.347663,0.566374,0.002672,-0.101474,2.402712,56.637400,0.000000,56.637400,-145639.989107,-145639.989107,6234.766343,-151874.755450,0.000000,0.000000,HOLD
28 October 2025,563.155698,24.491642,1.139726,55.029341,0.516750,0.002700,-0.100555,2.389945,51.674993,0.000000,51.674993,-145639.989107,-145639.989107,5502.934123,-151142.923230,0.000000,0.000000,HOLD
29 October 2025,571.316177,24.491642,1.136986,60.528649,0.546985,0.002648,-0.102748,2.406988,54.698456,0.000000,54.698456,-145639.989107,-145639.989107,6052.864912,-151692.854019,0.000000,0.000000,HOLD
30 October 2025,556.691490,24.491642,1.134247,51.202784,0.505739,0.002745,-0.098882,2.363470,50.573949,50.573949,50.573949,-173794.075902,-145639.989107,5120.278435,-150760.267542,0.000000,0.000000,BUY
31 October 2025,548.913898,24.491642,1.131507,49.951676,0.491979,0.002789,-0.096556,2.329100,49.197936,0.000000,49.197936,-173794.075902,-173794.075902,4995.167576,-178789.243478,0.000000,0.000000,HOLD
1 November 2025,554.445289,24.491642,1.128767,52.613198,0.512492,0.002765,-0.098364,2.349455,51.249178,0.000000,51.249178,-173794.075902,-173794.075902,5261.319778,-179055.395679,0.000000,0.000000,HOLD
2 November 2025,557.125645,24.491642,1.126027,46.944435,0.495807,0.002753,-0.099247,2.356657,49.580740,0.000000,49.580740,-173794.075902,-173794.075902,4694.443515,-178488.519417,0.000000,0.000000,HOLD
3 November 2025,565.277009,24.491642,1.123288,63.576463,0.562531,0.002707,-0.101630,2.379375,56.253131,0.000000,56.253131,-173794.075902,-173794.075902,6357.646342,-180151.722244,0.000000,0.000000,HOLD
