trade_date,spot,ivol,tau,option_price,delta,gamma,theta,vega,target_qty,current_qty,diff_qty,cash_position,portfolio_value,option_liability,replication_error,realized_pnl,unrealized_pnl,action
5 October 2025,576.821087,24.491642,1.202740,66.320664,0.571996,0.002529,-0.101968,2.478964,57.199637,57.199637,57.199637,-16361.890363,16632.066362,6632.066362,10000.000000,0.000000,0.000000,INIT
6 October 2025,572.791577,24.491642,1.200000,64.712607,0.571880,0.002562,-0.101157,2.470399,57.188022,57.199637,0.000000,-16363.907707,16399.562511,6471.260708,9928.301803,-72.931150,-230.486507,HOLD
7 October 2025,582.949090,24.491642,1.197260,70.411290,0.591252,0.002488,-0.103401,2.479708,59.125206,57.199637,0.000000,-16365.925299,16978.550933,7041.129011,9937.421923,-65.044135,350.519508,HOLD
8 October 2025,586.523968,24.491642,1.194521,72.885355,0.601619,0.002463,-0.104172,2.478813,60.161859,57.199637,0.000000,-16367.943141,17181.014808,7288.535475,9892.479333,-111.219981,555.001224,HOLD
9 October 2025,585.615635,24.491642,1.191781,69.170510,0.593548,0.002473,-0.104089,2.475966,59.354823,57.199637,0.000000,-16369.961231,17127.040409,6917.051044,10209.989366,205.056643,503.044915,HOLD
10 October 2025,578.799136,24.491642,1.189041,68.280672,0.584518,0.002530,-0.102812,2.468433,58.451757,58.451757,1.252121,-17096.705869,16735.120791,6828.067171,9907.053620,-99.112664,113.143635,BUY
11 October 2025,575.178975,24.491642,1.186301,63.626942,0.571461,0.002561,-0.102110,2.461225,57.146092,58.451757,0.000000,-17098.813812,16521.408114,6362.694245,10158.713869,151.313872,-98.461099,HOLD
12 October 2025,560.568589,24.491642,1.183562,54.671449,0.527003,0.002663,-0.098583,2.425569,52.700319,58.451757,0.000000,-17100.922015,15665.297161,5467.144865,10198.152296,189.518434,-952.463848,HOLD
13 October 2025,553.955900,24.491642,1.180822,52.464192,0.510671,0.002705,-0.096795,2.400187,51.067056,58.451757,0.000000,-17103.030478,15276.665380,5246.419204,10030.246175,20.378296,-1338.987167,HOLD
14 October 2025,556.772728,24.491642,1.178082,54.282728,0.519785,0.002692,-0.097681,2.407740,51.978458,58.451757,0.000000,-17105.139201,15439.205207,5428.272768,10010.932440,-0.169609,-1174.338617,HOLD
15 October 2025,555.658554,24.491642,1.175342,52.406098,0.518321,0.002701,-0.097436,2.401057,51.832102,51.832102,-6.619655,-13428.980291,15371.970807,5240.609774,10131.361033,119.024663,-1099.094872,SELL
16 October 2025,556.250169,24.491642,1.172603,50.031894,0.510689,0.002701,-0.097681,2.400459,51.068875,51.832102,0.000000,-13430.636021,15400.979745,5003.189352,10397.790393,384.219549,-1068.430205,HOLD
17 October 2025,553.231759,24.491642,1.169863,51.449772,0.503537,0.002721,-0.096872,2.386441,50.353730,51.832102,0.000000,-13432.291954,15242.873269,5144.977222,10097.896046,83.090576,-1224.880747,HOLD
18 October 2025,553.412067,24.491642,1.167123,53.294371,0.513546,0.002724,-0.096999,2.384393,51.354647,51.832102,0.000000,-13433.948093,15250.562888,5329.437137,9921.125751,-94.914497,-1215.534989,HOLD
19 October 2025,552.602258,24.491642,1.164384,49.755611,0.503207,0.002731,-0.096830,2.378440,50.320717,51.832102,0.000000,-13435.604435,15206.932448,4975.561086,10231.371362,214.096184,-1257.509087,HOLD
20 October 2025,548.871462,24.491642,1.161644,47.865596,0.485598,0.002753,-0.095754,2.359964,48.559830,48.559830,-3.272272,-11641.204157,15011.900872,4786.559592,10225.341280,206.831019,-1359.286679,SELL
21 October 2025,543.518453,24.491642,1.158904,47.378921,0.487649,0.002781,-0.094094,2.331855,48.764897,48.559830,0.000000,-11642.639462,14750.524384,4737.892098,10012.632286,-7.113210,-1619.227862,HOLD
22 October 2025,545.089890,24.491642,1.156164,47.807243,0.488123,0.002777,-0.094680,2.336784,48.812308,48.559830,0.000000,-11644.074945,14825.397602,4780.724277,10044.673326,23.692442,-1542.919161,HOLD
23 October 2025,544.870273,24.491642,1.153425,47.756701,0.483049,0.002782,-0.094675,2.332873,48.304905,48.559830,0.000000,-11645.510604,14813.297361,4775.670100,10037.627261,15.410838,-1553.583743,HOLD
24 October 2025,545.888382,24.491642,1.150685,48.689270,0.496638,0.002780,-0.095078,2.334960,49.663780,48.559830,0.000000,-11646.946441,14861.300718,4868.926953,9992.373765,-31.078349,-1504.144550,HOLD
25 October 2025,545.178513,24.491642,1.147945,45.399330,0.477922,0.002787,-0.094914,2.328686,47.792226,48.559830,0.000000,-11648.382454,14825.393616,4539.933023,10285.460592,260.772633,-1538.615638,HOLD
26 October 2025,553.184221,24.491642,1.145205,50.408727,0.503597,0.002751,-0.097524,2.361312,50.359669,48.559830,0.000000,-11649.818644,15212.713218,5040.872716,10171.840502,145.916547,-1149.859846,HOLD
27 October 2025,566.934947,24.491642,1.142466,58.465536,0.550077,0.002672,-0.101474,2.402712,55.007672,48.559830,0.000000,-11651.255012,15879.009777,5846.553569,10032.456208,5.296103,-482.126919,HOLD
28 October 2025,563.155698,24.491642,1.139726,55.842676,0.537223,0.002700,-0.100555,2.389945,53.722277,48.559830,0.000000,-11652.691557,15694.053554,5584.267617,10109.785937,81.389531,-665.646597,HOLD
29 October 2025,571.316177,24.491642,1.136986,60.205058,0.555997,0.002648,-0.102748,2.406988,55.599728,48.559830,0.000000,-11654.128278,16088.888315,6020.505804,10068.382511,38.749651,-269.375115,HOLD
30 October 2025,556.691490,24.491642,1.134247,51.303946,0.514934,0.002745,-0.098882,2.363470,51.493385,51.493385,2.933555,-13288.650390,15377.279109,5130.394621,10246.884488,216.015022,-979.547422,BUY
31 October 2025,548.913898,24.491642,1.131507,48.197330,0.496263,0.002789,-0.096556,2.329100,49.626271,51.493385,0.000000,-13290.288817,14975.146138,4819.732958,10155.413180,123.306955,-1380.041965,HOLD
1 November 2025,554.445289,24.491642,1.128767,50.848911,0.508281,0.002765,-0.098364,2.349455,50.828114,51.493385,0.000000,-13291.927447,15258.337551,5084.891095,10173.446457,140.103320,-1095.211922,HOLD
2 November 2025,557.125645,24.491642,1.126027,52.231022,0.517172,0.002753,-0.099247,2.356657,51.717188,51.493385,0.000000,-13293.566279,15394.719326,5223.102209,10171.617117,137.036917,-957.191316,HOLD
3 November 2025,565.277009,24.491642,1.123288,56.333498,0.539022,0.002707,-0.101630,2.379375,53.902165,51.493385,0.000000,-13295.205313,15812.821612,5633.349790,10179.471822,143.654405,-537.449996,HOLD
