trade_date,spot,ivol,tau,option_price,delta,gamma,theta,vega,target_qty,current_qty,diff_qty,cash_position,portfolio_value,option_liability,replication_error,realized_pnl,unrealized_pnl,action
5 October 2025,576.821087,24.491642,1.202740,65.481059,0.575002,0.002529,-0.101968,2.478964,57.500209,0.000000,57.500209,6548.105892,6548.105892,6548.105892,0.000000,0.000000,0.000000,HOLD
6 October 2025,572.791577,24.491642,1.200000,63.083581,0.564522,0.002562,-0.101157,2.470399,56.452215,56.452215,56.452215,-25787.247628,6548.105892,6308.358099,239.747793,0.000000,0.000000,BUY
7 October 2025,582.949090,24.491642,1.197260,68.845243,0.589966,0.002488,-0.103401,2.479708,58.996562,56.452215,2.544346,-25787.247628,7121.519964,6884.524302,236.995663,0.000000,573.414072,HOLD
8 October 2025,586.523968,24.491642,1.194521,70.866010,0.598625,0.002463,-0.104172,2.478813,59.862482,56.452215,3.410267,-25787.247628,7323.329740,7086.601015,236.728725,0.000000,775.223848,HOLD
9 October 2025,585.615635,24.491642,1.191781,70.219231,0.596195,0.002473,-0.104089,2.475966,59.619524,56.452215,3.167309,-25787.247628,7272.052339,7021.923106,250.129233,0.000000,723.946446,HOLD
10 October 2025,578.799136,24.491642,1.189041,66.110382,0.578940,0.002530,-0.102812,2.468433,57.893979,56.452215,1.441763,-25787.247628,6887.245857,6611.038235,276.207622,0.000000,339.139964,HOLD
11 October 2025,575.178975,24.491642,1.186301,63.929099,0.569508,0.002561,-0.102110,2.461225,56.950777,56.452215,0.498562,-25787.247628,6682.879786,6392.909874,289.969911,0.000000,134.773893,HOLD
12 October 2025,560.568589,24.491642,1.183562,55.786801,0.531081,0.002663,-0.098583,2.425569,53.108097,56.452215,-3.344118,-25787.247628,5858.091116,5578.680093,279.411023,0.000000,-690.014776,HOLD
13 October 2025,553.955900,24.491642,1.180822,52.236678,0.513050,0.002705,-0.096795,2.400187,51.305039,51.305039,-5.147176,-22935.939027,5484.790148,5223.667756,261.122392,0.000000,-966.365193,SELL
14 October 2025,556.772728,24.491642,1.178082,53.594918,0.520363,0.002692,-0.097681,2.407740,52.036251,51.305039,0.731212,-22935.939027,5629.307622,5359.491758,269.815864,-96.950552,-821.847718,HOLD
15 October 2025,555.658554,24.491642,1.175342,52.919416,0.517071,0.002701,-0.097436,2.401057,51.707150,51.305039,0.402111,-22935.939027,5572.144891,5291.941620,280.203271,-96.950552,-879.010450,HOLD
16 October 2025,556.250169,24.491642,1.172603,53.128152,0.518382,0.002701,-0.097681,2.400459,51.838181,51.305039,0.533142,-22935.939027,5602.497739,5312.815236,289.682503,-96.950552,-848.657601,HOLD
17 October 2025,553.231759,24.491642,1.169863,51.478959,0.509905,0.002721,-0.096872,2.386441,50.990507,51.305039,-0.314533,-22935.939027,5447.638090,5147.895925,299.742165,-96.950552,-1003.517250,HOLD
18 October 2025,553.412067,24.491642,1.167123,51.473981,0.510098,0.002724,-0.096999,2.384393,51.009817,51.305039,-0.295222,-22935.939027,5456.888814,5147.398101,309.490713,-96.950552,-994.266526,HOLD
19 October 2025,552.602258,24.491642,1.164384,50.964999,0.507590,0.002731,-0.096830,2.378440,50.758999,51.305039,-0.546040,-22935.939027,5415.341537,5096.499909,318.841628,-96.950552,-1035.813803,HOLD
20 October 2025,548.871462,24.491642,1.161644,48.994618,0.497051,0.002753,-0.095754,2.359964,49.705092,49.705092,-1.599947,-22057.773689,5223.932873,4899.461763,324.471109,-96.950552,-1188.951546,SELL
21 October 2025,543.518453,24.491642,1.158904,46.279409,0.481913,0.002781,-0.094094,2.331855,48.191338,49.705092,-1.513754,-22057.773689,4957.861094,4627.940916,329.920177,-135.221473,-1455.023326,HOLD
22 October 2025,545.089890,24.491642,1.156164,46.945491,0.485951,0.002777,-0.094680,2.336784,48.595100,49.705092,-1.109992,-22057.773689,5035.969501,4694.549099,341.420402,-135.221473,-1376.914918,HOLD
23 October 2025,544.870273,24.491642,1.153425,46.744193,0.485012,0.002782,-0.094675,2.332873,48.501213,49.705092,-1.203879,-22057.773689,5025.053399,4674.419324,350.634076,-135.221473,-1387.831020,HOLD
24 October 2025,545.888382,24.491642,1.150685,47.144386,0.487516,0.002780,-0.095078,2.334960,48.751554,49.705092,-0.953539,-22057.773689,5075.658594,4714.438586,361.220008,-135.221473,-1337.225825,HOLD
25 October 2025,545.178513,24.491642,1.147945,46.704135,0.485211,0.002787,-0.094914,2.328686,48.521135,49.705092,-1.183957,-22057.773689,5040.374520,4670.413537,369.960984,-135.221473,-1372.509899,HOLD
